Transaction_ID,Customer_ID,Product_Category,Product_Name,Quantity,Unit_Price,Discount_Pct,Total_Amount,Purchase_Date,Customer_City,Payment_Method,Store_Name,Customer_Gender,Customer_Age_Group,Customer_Rating,Year,Month,Month_Name,Day_of_Week,Hour,Quarter,Is_Weekend
TXN-2025175,CUST-02219,Home & Kitchen,PEL Refrigerator 14CuFt,3,84966.81,5,242155.41,2025-05-19 18:47:00,Rawalpindi,JazzCash,NovaMart Express,Male,18-24,4,2025,5,May,Monday,18,2,0
TXN-2025753,CUST-01534,Clothing,Sports T-Shirt,3,1267.9,5,3613.51,2025-09-07 12:43:00,Islamabad,Cash,NovaMart Express,Female,35-44,5,2025,9,Sep,Sunday,12,3,1
TXN-2025468,CUST-00430,Groceries,Lays Chips Family Pack,5,184.74,5,877.51,2025-06-07 21:40:00,Lahore,Debit Card,NovaMart Express,Female,35-44,4,2025,6,Jun,Saturday,21,2,1
TXN-2025241,CUST-00505,Clothing,Casual Sneakers,3,5890.31,0,17670.93,2025-07-27 17:30:00,Rawalpindi,Cash,NovaMart Express,Female,55+,1,2025,7,Jul,Sunday,17,3,1
TXN-2025668,CUST-00139,Toys & Kids,LEGO Classic Bricks Set,2,6387.8,0,12775.6,2025-07-07 16:15:00,Multan,Cash,NovaMart Express,Female,25-34,3,2025,7,Jul,Monday,16,3,0
TXN-2025219,CUST-01580,Sports & Fitness,Skipping Rope Steel,1,686.53,5,652.2,2025-01-01 19:42:00,Lahore,Credit Card,NovaMart Premium,Male,25-34,5,2025,1,Jan,Wednesday,19,1,0
TXN-2025868,CUST-UNKNOWN,Clothing,Denim Jeans Slim Fit,2,3579.43,0,7158.86,2025-03-05 16:11:00,Islamabad,Cash,NovaMart Express,Unknown,25-34,4,2025,3,Mar,Wednesday,16,1,0
TXN-2025421,CUST-02806,Stationery,Stapler Heavy Duty,3,607.03,0,1821.09,2025-05-06 13:49:00,Multan,Debit Card,NovaMart Premium,Male,25-34,5,2025,5,May,Tuesday,13,2,0
TXN-2025352,CUST-UNKNOWN,Toys & Kids,Remote Control Car,1,4324.46,0,3675.79,2025-09-05 17:14:00,Rawalpindi,Cash,NovaMart Premium,Unknown,18-24,4,2025,9,Sep,Friday,17,3,0
TXN-2025329,CUST-UNKNOWN,Toys & Kids,Art & Craft Kit,1,1252.85,0,1190.21,2025-08-13 16:15:00,Islamabad,Cash,NovaMart Central,Unknown,35-44,4,2025,8,Aug,Wednesday,16,3,0
TXN-2026042,CUST-01252,Sports & Fitness,Wilson Badminton Racket,4,3005.54,0,12022.16,2025-05-31 16:19:00,Multan,EasyPaisa,NovaMart Premium,Male,18-24,5,2025,5,May,Saturday,16,2,1
TXN-2025922,CUST-02845,Groceries,Nestle Everyday Tea Whitener 400g,3,414.83,10,1120.04,2025-07-06 16:50:00,Karachi,Cash,NovaMart Central,Female,55+,5,2025,7,Jul,Sunday,16,3,1
TXN-2025266,CUST-01555,Home & Kitchen,Anex Blender AG-6122,1,3853.22,5,3660.56,2025-04-25 16:03:00,Karachi,Bank Transfer,NovaMart Express,Female,25-34,1,2025,4,Apr,Friday,16,2,0
TXN-2025755,CUST-01603,Electronics,Anker USB-C Charger,2,946.13,5,1797.65,2025-08-11 12:19:00,Karachi,JazzCash,NovaMart Express,Male,18-24,5,2025,8,Aug,Monday,12,3,0
TXN-2025486,CUST-00314,Clothing,Winter Jacket,1,6833.3,5,6491.64,2025-10-04 15:02:00,Quetta,EasyPaisa,NovaMart Premium,Female,55+,4,2025,10,Oct,Saturday,15,4,1
TXN-2025926,CUST-00235,Electronics,JBL Bluetooth Speaker,3,6772.68,5,19302.14,2025-01-25 17:01:00,Karachi,Cash,NovaMart Premium,Male,25-34,5,2025,1,Jan,Saturday,17,1,1
TXN-2025290,CUST-02493,Sports & Fitness,Skipping Rope Steel,4,680.06,5,2584.23,2025-03-18 15:21:00,Sialkot,EasyPaisa,NovaMart Premium,Female,45-54,4,2025,3,Mar,Tuesday,15,1,0
TXN-2025221,CUST-UNKNOWN,Groceries,Lays Chips Family Pack,1,155.65,0,155.65,2025-01-28 17:53:00,Lahore,Cash,NovaMart Premium,Unknown,55+,4,2025,1,Jan,Tuesday,17,1,0
TXN-2025869,CUST-02776,Clothing,Denim Jeans Slim Fit,2,3478.38,0,6956.76,2025-10-27 14:50:00,Rawalpindi,Cash,NovaMart Outlet,Female,18-24,4,2025,10,Oct,Monday,14,4,0
TXN-2025840,CUST-01756,Health & Beauty,Gillette Fusion Razor,1,1471.56,15,1250.83,2025-05-04 13:52:00,Faisalabad,Cash,NovaMart Premium,Female,25-34,4,2025,5,May,Sunday,13,2,1
TXN-2025544,CUST-UNKNOWN,Sports & Fitness,Adidas Lite Racer Shoes,1,6954.38,0,6606.66,2025-02-09 14:22:00,Lahore,Cash,NovaMart Express,Unknown,55+,4,2025,2,Feb,Sunday,14,1,1
TXN-2025708,CUST-01893,Home & Kitchen,Non-Stick Fry Pan,1,2325.2,0,2325.2,2025-02-20 14:45:00,Quetta,Cash,NovaMart Express,Female,25-34,5,2025,2,Feb,Thursday,14,1,0
TXN-2025937,CUST-02955,Health & Beauty,LOreal Face Wash,1,770.87,5,732.33,2025-04-25 18:12:00,Multan,JazzCash,NovaMart Outlet,Male,18-24,4,2025,4,Apr,Friday,18,2,0
TXN-2025584,CUST-00134,Electronics,Sony Earbuds WF-C500,2,11237.69,0,22475.38,2025-08-14 19:41:00,Faisalabad,Credit Card,NovaMart Outlet,Female,35-44,1,2025,8,Aug,Thursday,19,3,0
TXN-2025571,CUST-01211,Electronics,Samsung Galaxy A14,4,45998.36,0,183993.44,2025-04-20 16:09:00,Hyderabad,JazzCash,NovaMart Express,Male,35-44,4,2025,4,Apr,Sunday,16,2,1
TXN-2025894,CUST-01703,Clothing,Women's Kameez Printed,1,2058.92,0,2058.92,2025-12-11 12:41:00,Karachi,EasyPaisa,NovaMart Premium,Female,25-34,4,2025,12,Dec,Thursday,12,4,0
TXN-2025102,CUST-UNKNOWN,Groceries,Olpers Full Cream Milk 1L,2,186.85,0,317.64,2025-11-10 16:05:00,Lahore,Cash,NovaMart Central,Unknown,45-54,4,2025,11,Nov,Monday,16,4,0
TXN-2025528,CUST-02473,Sports & Fitness,Cycling Gloves,2,938.19,0,1876.38,2025-11-24 13:40:00,Karachi,JazzCash,NovaMart Central,Female,55+,4,2025,11,Nov,Monday,13,4,0
TXN-2025353,CUST-01318,Electronics,HP Wireless Mouse,1,1250.49,0,1250.49,2025-08-20 12:37:00,Peshawar,JazzCash,NovaMart Express,Female,25-34,5,2025,8,Aug,Wednesday,12,3,0
TXN-2025919,CUST-00925,Electronics,JBL Bluetooth Speaker,1,6966.94,0,6966.94,2025-12-04 21:36:00,Karachi,JazzCash,NovaMart Outlet,Male,18-24,4,2025,12,Dec,Thursday,21,4,0
TXN-2025050,CUST-00286,Toys & Kids,Ludo Deluxe Board Game,1,695.42,0,695.42,2025-02-21 18:31:00,Islamabad,Cash,NovaMart Express,Male,55+,4,2025,2,Feb,Friday,18,1,0
TXN-2025815,CUST-01150,Electronics,Lenovo Laptop Bag,1,2594.69,0,2594.69,2025-03-17 14:46:00,Karachi,Credit Card,NovaMart Outlet,Male,55+,5,2025,3,Mar,Monday,14,1,0
TXN-2025987,CUST-00369,Health & Beauty,Pantene Shampoo 360ml,1,597.09,5,567.24,2025-04-26 18:45:00,Peshawar,Debit Card,NovaMart Central,Female,35-44,2,2025,4,Apr,Saturday,18,2,1
TXN-2025739,CUST-00522,Health & Beauty,LOreal Face Wash,2,773.31,5,1469.29,2025-10-22 18:34:00,Karachi,Cash,NovaMart Central,Female,25-34,1,2025,10,Oct,Wednesday,18,4,0
TXN-2025562,CUST-00565,Stationery,Spiral Notebook A5,3,296.91,10,801.66,2025-01-12 16:08:00,Karachi,Credit Card,NovaMart Central,Female,25-34,5,2025,1,Jan,Sunday,16,1,1
TXN-2025516,CUST-01121,Clothing,Kids Tracksuit,1,1399.87,5,1329.88,2025-07-01 16:29:00,Karachi,Debit Card,NovaMart Central,Male,35-44,4,2025,7,Jul,Tuesday,16,3,0
TXN-2025553,CUST-00728,Electronics,JBL Bluetooth Speaker,3,5878.17,0,17634.51,2025-08-08 17:27:00,Rawalpindi,EasyPaisa,NovaMart Express,Male,35-44,1,2025,8,Aug,Friday,17,3,0
TXN-2025539,CUST-00487,Stationery,Stapler Heavy Duty,1,649.71,0,649.71,2025-12-14 09:56:00,Lahore,Cash,NovaMart Premium,Male,55+,5,2025,12,Dec,Sunday,9,4,1
TXN-2025463,CUST-00351,Clothing,Sports T-Shirt,3,1482.76,0,4448.28,2025-11-30 14:16:00,Lahore,Cash,NovaMart Central,Female,45-54,4,2025,11,Nov,Sunday,14,4,1
TXN-2026020,CUST-01716,Groceries,Nestle Everyday Tea Whitener 400g,1,389.98,0,389.98,2025-02-15 20:56:00,Islamabad,Cash,NovaMart Central,Male,18-24,1,2025,2,Feb,Saturday,20,1,1
TXN-2025515,CUST-00437,Groceries,Nestle Everyday Tea Whitener 400g,5,409.3,0,2046.5,2025-06-13 16:00:00,Lahore,Debit Card,NovaMart Express,Male,35-44,4,2025,6,Jun,Friday,16,2,0
TXN-2025984,CUST-01328,Stationery,A4 Paper Ream 500sheets,1,939.62,10,845.66,2025-01-05 18:23:00,Quetta,JazzCash,NovaMart Central,Female,45-54,2,2025,1,Jan,Sunday,18,1,1
TXN-2025887,CUST-01596,Toys & Kids,Jigsaw Puzzle 500pcs,2,1437.35,0,2874.7,2025-02-21 17:42:00,Lahore,Credit Card,NovaMart Premium,Male,18-24,5,2025,2,Feb,Friday,17,1,0
TXN-2025886,CUST-01679,Home & Kitchen,Dawlance Microwave 25L,1,23989.35,5,22789.88,2025-12-05 10:03:00,Lahore,Credit Card,NovaMart Outlet,Female,35-44,5,2025,12,Dec,Friday,10,4,0
TXN-2025425,CUST-01399,Groceries,Olpers Full Cream Milk 1L,1,213.72,0,213.72,2025-05-19 11:32:00,Faisalabad,Credit Card,NovaMart Premium,Female,45-54,4,2025,5,May,Monday,11,2,0
TXN-2025071,CUST-UNKNOWN,Groceries,Rooh Afza 750ml,1,288.04,0,288.04,2025-10-17 13:42:00,Islamabad,Cash,NovaMart Premium,Unknown,35-44,4,2025,10,Oct,Friday,13,4,0
TXN-2025446,CUST-00568,Electronics,Samsung Galaxy A14,2,47923.03,5,91053.76,2025-03-27 17:00:00,Quetta,JazzCash,NovaMart Express,Female,45-54,5,2025,3,Mar,Thursday,17,1,0
TXN-2025300,CUST-00947,Electronics,Anker USB-C Charger,2,837.16,0,1674.32,2025-11-17 10:10:00,Lahore,Cash,NovaMart Outlet,Female,45-54,1,2025,11,Nov,Monday,10,4,0
TXN-2026004,CUST-01731,Home & Kitchen,Non-Stick Fry Pan,4,1899.03,0,7596.12,2025-02-05 14:27:00,Karachi,EasyPaisa,NovaMart Central,Male,18-24,5,2025,2,Feb,Wednesday,14,1,0
TXN-2025842,CUST-01863,Groceries,Basmati Rice 5kg,3,1585.11,0,4755.33,2025-10-20 19:43:00,Lahore,Cash,NovaMart Central,Male,45-54,5,2025,10,Oct,Monday,19,4,0
TXN-2025537,CUST-01683,Electronics,Anker USB-C Charger,1,1047.72,15,890.56,2025-10-28 15:22:00,Karachi,Credit Card,NovaMart Express,Male,25-34,3,2025,10,Oct,Tuesday,15,4,0
TXN-2025052,CUST-UNKNOWN,Clothing,Casual Sneakers,3,4200.69,0,12602.07,2025-09-13 15:20:00,Multan,Cash,NovaMart Express,Unknown,25-34,4,2025,9,Sep,Saturday,15,3,1
TXN-2025024,CUST-02553,Clothing,Men's Polo Shirt,1,2121.42,15,1803.21,2025-06-14 16:32:00,Islamabad,JazzCash,NovaMart Premium,Male,25-34,2,2025,6,Jun,Saturday,16,2,1
TXN-2025045,CUST-UNKNOWN,Home & Kitchen,Bed Sheet King Size,1,3378.31,0,3378.31,2025-03-03 11:50:00,Lahore,Cash,NovaMart Outlet,Unknown,25-34,4,2025,3,Mar,Monday,11,1,0
TXN-2025567,CUST-00985,Electronics,Anker USB-C Charger,1,913.93,0,913.93,2025-05-04 11:23:00,Karachii,EasyPaisa,NovaMart Central,Male,35-44,4,2025,5,May,Sunday,11,2,1
TXN-2025171,CUST-01078,Clothing,Denim Jeans Slim Fit,4,3549.6,5,13488.48,2025-08-31 14:33:00,Karachi,EasyPaisa,NovaMart Central,Female,45-54,4,2025,8,Aug,Sunday,14,3,1
TXN-2025261,CUST-02844,Groceries,Basmati Rice 5kg,1,1304.44,0,1304.44,2025-05-08 16:12:00,Karachi,Cash,NovaMart Premium,Male,45-54,5,2025,5,May,Thursday,16,2,0
TXN-2025955,CUST-02460,Health & Beauty,Gillette Fusion Razor,1,1575.62,0,1575.62,2025-04-25 13:34:00,Hyderabad,Credit Card,NovaMart Outlet,Male,18-24,5,2025,4,Apr,Friday,13,2,0
TXN-2025108,CUST-01610,Home & Kitchen,Anex Blender AG-6122,1,3258.89,0,3258.89,2025-09-12 18:12:00,Islamabad,Credit Card,NovaMart Express,Male,25-34,4,2025,9,Sep,Friday,18,3,0
TXN-2025621,CUST-01941,Home & Kitchen,Anex Blender AG-6122,2,4247.3,0,8494.6,2025-11-21 19:19:00,Karachi,Cash,NovaMart Central,Male,35-44,3,2025,11,Nov,Friday,19,4,0
TXN-2025765,CUST-UNKNOWN,Groceries,Sunflower Oil 5L,1,1875.92,0,1875.92,2025-06-26 15:23:00,Faisalabad,Cash,NovaMart Express,Unknown,25-34,4,2025,6,Jun,Thursday,15,2,0
TXN-2025763,CUST-UNKNOWN,Sports & Fitness,Dumbbell Set 10kg Pair,3,3918.76,0,11756.28,2025-04-09 15:03:00,Lahore,Cash,NovaMart Outlet,Unknown,45-54,4,2025,4,Apr,Wednesday,15,2,0
TXN-2025428,CUST-02398,Health & Beauty,Gillette Fusion Razor,1,1661.83,0,1661.83,2025-04-14 19:54:00,Karachi,EasyPaisa,NovaMart Outlet,Female,55+,4,2025,4,Apr,Monday,19,2,0
TXN-2025788,CUST-00104,Groceries,Nestle Everyday Tea Whitener 400g,1,413.11,0,413.11,2025-01-31 12:55:00,Hyderabad,Credit Card,NovaMart Outlet,Male,25-34,3,2025,1,Jan,Friday,12,1,0
TXN-2025804,CUST-00726,Stationery,A4 Paper Ream 500sheets,4,901.37,10,3244.93,2025-05-18 13:18:00,Quetta,Cash,NovaMart Central,Male,45-54,3,2025,5,May,Sunday,13,2,1
TXN-2025310,CUST-01863,Sports & Fitness,Yoga Mat 6mm,2,1679.77,15,2855.61,2025-09-29 12:53:00,Rawalpindi,Credit Card,NovaMart Express,Female,35-44,3,2025,9,Sep,Monday,12,3,0
TXN-2025159,CUST-UNKNOWN,Clothing,Women's Kameez Printed,3,1730.5,0,5191.5,2025-09-06 14:45:00,Karachi,Cash,NovaMart Express,Unknown,45-54,4,2025,9,Sep,Saturday,14,3,1
TXN-2025333,CUST-UNKNOWN,Sports & Fitness,Cycling Gloves,1,1027.06,0,1027.06,2025-05-28 10:27:00,Karachi,Cash,NovaMart Premium,Unknown,25-34,4,2025,5,May,Wednesday,10,2,0
TXN-2025775,CUST-00285,Electronics,Samsung Galaxy A14,1,49778.97,0,49778.97,2025-08-25 11:16:00,Sialkot,Cash,NovaMart Premium,Female,25-34,1,2025,8,Aug,Monday,11,3,0
